hh_num,community_factor,age,sex_factor,race_factor,marriage_factor,housesize,property_factor,energy_factor,income,waterperson_factor,drinking,multiple,share,treat_domestic2,treat_drinking2,storage,cistern_elevated2,days_noservice,hours_noservice,intermittency
567,Borbon,47-60,mujer/otro,mestizo,casado.o.union.libre,Small (up to 3),Yes,Continuous,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,5,23,166
568,Borbon,47-60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,Skipped,Adult man,Bottled water,single,no,none,none,store,no,5,23,166
569,Borbon,36-46,mujer/otro,afro-ecuatoriano,soltero,Medium (4-6),Yes,Continuous,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,4,22,162
569,Borbon,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,4,22,162
573,Borbon,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),No,Continuous,<= $394,Adult man,Bottled water,single,no,treatment,none,store,no,3,21,156
575,Borbon,>60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,>394,Adult woman,Bottled water,single,no,none,none,store,yes,4,22,162
578,Borbon,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,3,22,160
579,Borbon,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,3,22,160
582,Borbon,36-46,mujer/otro,afro-ecuatoriano,divorced/separated/widowed,Small (up to 3),Yes,Continuous,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,4,22,162
600,Borbon,<36,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,<= $394,Adult man,No bottled water,multiple,no,none,none,store,no,7,24,168
604,Borbon,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,<= $394,Adult woman,Bottled water,single,no,treatment,none,store,no,4,20,156
607,Borbon,36-46,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,>394,Adult woman,Bottled water,single,no,none,none,no store,no,6,9,153
610,Borbon,47-60,hombre,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,<= $394,Adult man,Bottled water,single,no,none,none,store,yes,4,22,162
611,Borbon,>60,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,<= $394,Adult man,No bottled water,multiple,no,none,treatment,no store,no,3,19,148
617,Borbon,>60,hombre,afro-ecuatoriano,soltero,Medium (4-6),Yes,Continuous,>394,Adult woman,Bottled water,single,no,treatment,none,store,no,4,22,162
621,Borbon,36-46,hombre,mestizo,casado.o.union.libre,Medium (4-6),Yes,Interrupted,Skipped,Adult man,Bottled water,single,no,none,none,store,no,7,24,168
622,Borbon,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,5,12,144
623,Borbon,<36,hombre,afro-ecuatoriano,divorced/separated/widowed,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,treatment,none,store,no,4,21,159
637,Borbon,36-46,hombre,afro-ecuatoriano,soltero,Small (up to 3),No,Continuous,>394,Adult man,Bottled water,single,no,treatment,none,store,no,5,19,158
638,Borbon,36-46,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Interrupted,>394,Adult woman,Bottled water,single,no,none,none,store,no,6,21,165
643,Borbon,<36,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),No,Interrupted,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,7,24,168
644,Borbon,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult woman,Bottled water,single,no,treatment,none,store,no,5,23,166
653,Borbon,47-60,hombre,mestizo,casado.o.union.libre,Small (up to 3),Yes,Continuous,<= $394,Adult man,No bottled water,single,no,none,none,store,no,7,24,168
656,Borbon,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,Skipped,Adult man,Bottled water,single,no,treatment,treatment,no store,yes,5,18,156
659,Borbon,>60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,yes,3,19,148
661,Borbon,>60,mujer/otro,mestizo,soltero,Small (up to 3),Yes,Continuous,Skipped,Adult woman,No bottled water,single,no,none,none,store,no,4,20,156
664,Borbon,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Large (more than 6),Yes,Interrupted,>394,Adult woman,Bottled water,single,no,treatment,none,store,no,5,21,162
667,Borbon,>60,hombre,mestizo,soltero,Small (up to 3),Yes,Interrupted,Skipped,Adult man,No bottled water,single,no,none,none,no store,no,5,22,164
668,Borbon,36-46,hombre,mestizo,casado.o.union.libre,Medium (4-6),Yes,Continuous,Skipped,Adult woman,Bottled water,single,no,treatment,none,store,no,3,21,156
671,Borbon,36-46,mujer/otro,afro-ecuatoriano,soltero,Large (more than 6),Yes,Interrupted,<= $394,Adult woman,Bottled water,single,no,treatment,none,store,no,5,20,160
672,Borbon,47-60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,<= $394,Adult woman,Bottled water,single,no,none,none,store,no,4,22,162
673,Borbon,47-60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,<= $394,Adult woman,Bottled water,single,no,none,none,store,no,6,12,156
674,Borbon,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,Skipped,Adult woman,No bottled water,single,no,treatment,treatment,store,yes,7,24,168
675,Borbon,<36,mujer/otro,mestizo,soltero,Medium (4-6),No,Interrupted,<= $394,Adult woman,Bottled water,single,no,none,none,store,no,4,20,156
683,Borbon,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,treatment,none,store,no,7,24,168
683,Borbon,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),No,Interrupted,Skipped,Adult man,Bottled water,multiple,yes,none,none,store,no,6,22,166
684,Borbon,>60,mujer/otro,mestizo,soltero,Small (up to 3),Yes,Continuous,<= $394,Adult man,Bottled water,multiple,no,treatment,none,store,no,5,21,162
685,Borbon,36-46,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,6,22,166
686,Borbon,>60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,>394,Adult woman,Bottled water,single,no,none,none,store,no,5,21,162
687,Borbon,36-46,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,>394,Adult man,Bottled water,single,no,none,none,store,yes,3,21,156
689,Borbon,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,treatment,treatment,store,no,5,18,156
694,Borbon,>60,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),No,Continuous,Skipped,Adult man,Bottled water,multiple,no,treatment,none,store,no,5,20,160
695,Borbon,47-60,hombre,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,<= $394,Adult man,Bottled water,single,no,treatment,none,no store,no,6,20,164
696,Borbon,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,Skipped,Adult man,Bottled water,single,no,none,none,no store,yes,5,22,164
697,Borbon,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,no store,no,4,19,153
698,Borbon,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,4,14,138
698,Borbon,>60,mujer/otro,afro-ecuatoriano,divorced/separated/widowed,Medium (4-6),Yes,Continuous,>394,Adult woman,Bottled water,single,no,none,none,no store,no,4,22,162
699,Borbon,<36,hombre,mestizo,casado.o.union.libre,Medium (4-6),No,Continuous,Skipped,Adult man,Bottled water,single,no,treatment,none,store,no,4,20,156
701,Borbon,>60,hombre,afro-ecuatoriano,soltero,Small (up to 3),Yes,Interrupted,>394,Adult man,Bottled water,single,no,treatment,none,store,no,4,20,156
702,Borbon,36-46,hombre,mestizo,casado.o.union.libre,Medium (4-6),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,no store,no,6,21,165
704,Borbon,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,>394,Adult man,Bottled water,single,no,treatment,none,store,no,5,20,160
710,Borbon,36-46,hombre,mestizo,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult woman,Bottled water,single,no,none,none,store,no,4,22,162
711,Borbon,47-60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,<= $394,Adult man,Bottled water,single,no,treatment,none,store,no,4,18,150
713,Borbon,47-60,mujer/otro,mestizo,soltero,Small (up to 3),No,Continuous,Skipped,Adult man,Bottled water,single,no,treatment,none,store,no,4,20,156
715,Borbon,>60,mujer/otro,mestizo,soltero,Small (up to 3),Yes,Continuous,<= $394,Adult woman,Bottled water,single,no,treatment,none,store,no,7,24,168
720,Borbon,>60,hombre,mestizo,casado.o.union.libre,Medium (4-6),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,3,0,72
724,Borbon,>60,hombre,afro-ecuatoriano,divorced/separated/widowed,Small (up to 3),Yes,Continuous,<= $394,Adult man,Bottled water,single,no,treatment,none,store,no,3,18,144
726,Borbon,47-60,hombre,mestizo,casado.o.union.libre,Small (up to 3),No,Continuous,>394,Adult man,Bottled water,single,no,treatment,none,no store,yes,3,18,144
727,Borbon,47-60,hombre,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,<= $394,Adult man,Bottled water,single,no,none,none,no store,no,4,16,144
728,Borbon,<36,hombre,mestizo,casado.o.union.libre,Medium (4-6),No,Continuous,>394,Adult man,Bottled water,single,no,treatment,none,no store,yes,4,20,156
729,Borbon,47-60,hombre,mestizo,casado.o.union.libre,Medium (4-6),Yes,Continuous,>394,Adult man,Bottled water,single,no,treatment,treatment,no store,yes,4,17,147
731,Borbon,>60,hombre,mestizo,soltero,Small (up to 3),Yes,Continuous,Skipped,Adult man,Bottled water,single,no,treatment,none,no store,yes,4,18,150
733,Borbon,>60,mujer/otro,afro-ecuatoriano,divorced/separated/widowed,Small (up to 3),Yes,Continuous,Skipped,Adult man,Bottled water,single,no,treatment,none,store,no,3,20,152
743,Borbon,>60,mujer/otro,mestizo,soltero,Medium (4-6),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,4,20,156
756,Borbon,<36,hombre,afro-ecuatoriano,soltero,Small (up to 3),Yes,Interrupted,>394,Adult man,Bottled water,single,no,none,none,no store,no,2,0,48
759,Borbon,>60,hombre,mestizo,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,3,18,144
764,Borbon,47-60,hombre,mestizo,casado.o.union.libre,Medium (4-6),Yes,Continuous,Skipped,Adult man,Bottled water,single,no,treatment,none,store,no,0,19,133
767,Borbon,>60,mujer/otro,mestizo,soltero,Small (up to 3),Yes,Continuous,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,6,19,163
770,Borbon,>60,hombre,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,<= $394,Adult man,Bottled water,single,no,none,none,no store,no,2,14,118
776,Borbon,>60,hombre,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,<= $394,Adult man,No bottled water,single,no,none,none,store,no,7,24,168
778,Borbon,36-46,hombre,mestizo,soltero,Small (up to 3),No,Continuous,<= $394,Adult man,Bottled water,single,no,none,none,no store,no,5,18,156
778,Borbon,<36,hombre,mestizo,soltero,Small (up to 3),No,Continuous,<= $394,Adult man,Bottled water,single,no,none,none,no store,no,5,18,156
778,Borbon,>60,hombre,mestizo,casado.o.union.libre,Medium (4-6),Yes,Continuous,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,4,20,156
783,Borbon,<36,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,>394,Adult woman,No bottled water,multiple,no,none,none,no store,yes,0,19,133
785,Borbon,47-60,mujer/otro,afro-ecuatoriano,soltero,Medium (4-6),Yes,Interrupted,>394,Adult woman,Bottled water,single,no,treatment,treatment,no store,yes,4,20,156
788,Borbon,<36,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,>394,Adult woman,Bottled water,single,no,none,none,store,no,3,18,144
790,Borbon,36-46,hombre,mestizo,casado.o.union.libre,Small (up to 3),Yes,Interrupted,<= $394,Adult woman,Bottled water,single,no,none,none,store,no,1,19,138
792,Borbon,>60,hombre,mestizo,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,4,14,138
795,Borbon,47-60,hombre,mestizo,casado.o.union.libre,Small (up to 3),Yes,Continuous,Skipped,Adult woman,Bottled water,single,no,treatment,none,store,no,0,22,154
797,Borbon,<36,hombre,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,Skipped,Adult man,Bottled water,single,no,treatment,none,store,no,3,20,152
798,Borbon,<36,hombre,mestizo,casado.o.union.libre,Medium (4-6),No,Continuous,>394,Adult woman,Bottled water,single,no,none,none,store,no,3,23,164
803,Borbon,47-60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,4,20,156
809,Borbon,47-60,hombre,mestizo,soltero,Small (up to 3),Yes,Interrupted,Skipped,Adult man,Bottled water,single,no,none,none,no store,no,4,20,156
810,Borbon,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,Skipped,Adult man,Bottled water,single,no,none,none,no store,yes,3,18,144
814,Borbon,>60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,<= $394,Adult man,No bottled water,multiple,no,none,treatment,no store,no,2,19,143
816,Borbon,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,no store,yes,4,19,153
817,Borbon,47-60,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult man,No bottled water,multiple,no,none,treatment,store,no,2,19,143
820,Borbon,>60,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),No,Interrupted,<= $394,Adult woman,Bottled water,single,no,treatment,treatment,store,no,4,20,156
821,Borbon,36-46,mujer/otro,mestizo,soltero,Small (up to 3),No,Interrupted,>394,Adult man,Bottled water,single,no,none,none,store,no,3,19,148
821,Borbon,47-60,hombre,mestizo,soltero,Small (up to 3),No,Interrupted,Skipped,Adult man,Bottled water,single,no,none,none,no store,yes,3,19,148
829,Borbon,36-46,hombre,mestizo,casado.o.union.libre,Small (up to 3),No,Continuous,>394,Adult man,No bottled water,multiple,no,none,none,store,no,2,20,148
830,Borbon,>60,hombre,mestizo,soltero,Small (up to 3),Yes,Continuous,Skipped,Adult man,Bottled water,single,no,treatment,none,no store,no,3,23,164
832,Borbon,>60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Interrupted,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,1,19,138
839,Borbon,47-60,mujer/otro,mestizo,soltero,Medium (4-6),Yes,Interrupted,<= $394,Adult woman,No bottled water,single,no,treatment,treatment,store,no,4,20,156
841,Borbon,>60,mujer/otro,mestizo,soltero,Small (up to 3),Yes,Interrupted,>394,Adult woman,Bottled water,single,no,treatment,treatment,store,no,4,22,162
842,Borbon,47-60,hombre,mestizo,casado.o.union.libre,Small (up to 3),Yes,Continuous,Skipped,Adult man,Bottled water,single,no,treatment,treatment,store,yes,4,18,150
844,Borbon,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,>394,Adult woman,Bottled water,single,no,none,none,store,no,1,18,132
845,Borbon,>60,hombre,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,<= $394,Adult woman,Bottled water,single,no,none,none,store,yes,3,21,156
847,Borbon,36-46,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Interrupted,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,5,23,166
849,Borbon,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),No,Interrupted,>394,Adult woman,Bottled water,single,no,treatment,none,store,no,6,21,165
850,Borbon,>60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,<= $394,Adult woman,Bottled water,single,no,treatment,none,store,no,2,9,93
852,Borbon,>60,hombre,mestizo,casado.o.union.libre,Medium (4-6),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,4,14,138
853,Borbon,47-60,mujer/otro,mestizo,divorced/separated/widowed,Medium (4-6),Yes,Continuous,>394,Adult man,Bottled water,single,no,treatment,treatment,store,yes,3,18,144
856,Borbon,>60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,<= $394,Adult woman,Bottled water,single,no,none,none,store,no,3,12,120
857,Borbon,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,treatment,none,store,no,4,19,153
858,Borbon,>60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,Skipped,Adult man,Bottled water,single,no,treatment,none,store,no,4,18,150
862,Borbon,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,<= $394,Adult woman,Bottled water,single,no,treatment,none,store,no,5,18,156
864,Borbon,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),No,Interrupted,Skipped,Adult man,Bottled water,single,no,none,none,store,no,7,24,168
866,Borbon,36-46,hombre,mestizo,casado.o.union.libre,Medium (4-6),Yes,Interrupted,>394,Adult man,Bottled water,single,no,treatment,treatment,store,yes,7,24,168
867,Borbon,36-46,hombre,mestizo,casado.o.union.libre,Medium (4-6),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,4,22,162
872,Borbon,47-60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,>394,Adult woman,Bottled water,single,no,none,none,store,no,3,16,136
873,Borbon,47-60,mujer/otro,afro-ecuatoriano,soltero,Medium (4-6),Yes,Continuous,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,5,21,162
875,Borbon,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,treatment,none,store,yes,3,18,144
876,Borbon,>60,mujer/otro,mestizo,soltero,Small (up to 3),Yes,Continuous,>394,Adult woman,Bottled water,single,no,none,none,store,no,4,22,162
879,Borbon,36-46,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,5,22,164
880,Borbon,36-46,hombre,mestizo,casado.o.union.libre,Medium (4-6),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,6,22,166
881,Borbon,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult woman,Bottled water,single,no,none,none,store,no,5,21,162
882,Borbon,36-46,hombre,mestizo,casado.o.union.libre,Medium (4-6),No,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,4,22,162
885,Borbon,<36,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),No,Interrupted,>394,Adult man,Bottled water,single,no,none,none,store,no,7,24,168
888,Borbon,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Large (more than 6),Yes,Interrupted,Skipped,Adult man,Bottled water,multiple,no,none,none,store,no,7,24,168
889,Borbon,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,Skipped,Adult man,Bottled water,single,no,none,none,store,no,5,18,156
891,Borbon,36-46,hombre,mestizo,soltero,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,4,22,162
899,Borbon,>60,mujer/otro,afro-ecuatoriano,divorced/separated/widowed,Small (up to 3),Yes,Interrupted,Skipped,Adult woman,Bottled water,single,no,none,none,store,yes,3,22,160
902,Borbon,36-46,hombre,mestizo,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult woman,Bottled water,single,no,none,none,store,no,5,21,162
906,Borbon,47-60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,treatment,none,store,no,5,21,162
910,Borbon,>60,mujer/otro,mestizo,divorced/separated/widowed,Small (up to 3),Yes,Continuous,<= $394,Adult woman,Bottled water,single,no,none,none,store,no,5,23,166
913,Borbon,36-46,mujer/otro,afro-ecuatoriano,soltero,Medium (4-6),Yes,Interrupted,>394,Adult man,Bottled water,single,no,none,none,store,no,7,24,168
916,Borbon,36-46,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,>394,Adult woman,Bottled water,single,no,none,none,store,no,6,23,167
917,Borbon,47-60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,<= $394,Adult man,Bottled water,single,no,treatment,none,store,no,5,21,162
926,Borbon,47-60,hombre,mestizo,casado.o.union.libre,Medium (4-6),Yes,Continuous,Skipped,Adult woman,Bottled water,single,no,none,none,no store,no,6,22,166
926,Borbon,36-46,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,Skipped,Adult woman,Bottled water,single,no,none,none,no store,no,6,22,166
933,Borbon,36-46,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Large (more than 6),Yes,Interrupted,<= $394,Adult woman,Bottled water,multiple,no,treatment,none,store,no,5,20,160
934,Borbon,<36,hombre,mestizo,casado.o.union.libre,Small (up to 3),No,Continuous,<= $394,Adult man,Bottled water,single,no,treatment,none,store,no,5,19,158
936,Borbon,>60,hombre,mestizo,casado.o.union.libre,Small (up to 3),Yes,Continuous,Skipped,Adult man,Bottled water,single,no,treatment,none,store,no,5,19,158
937,Borbon,36-46,hombre,afro-ecuatoriano,soltero,Medium (4-6),Yes,Interrupted,Skipped,Adult woman,Bottled water,multiple,no,treatment,none,store,no,5,23,166
939,Borbon,>60,hombre,mestizo,casado.o.union.libre,Medium (4-6),Yes,Continuous,Skipped,Adult man,Bottled water,single,no,treatment,none,store,no,5,21,162
941,Borbon,<36,hombre,mestizo,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,4,22,162
942,Borbon,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,>394,Adult man,Bottled water,single,no,none,none,store,no,3,18,144
943,Borbon,47-60,mujer/otro,afro-ecuatoriano,divorced/separated/widowed,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,treatment,treatment,no store,yes,4,18,150
946,Borbon,47-60,hombre,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,4,18,150
948,Borbon,47-60,hombre,mestizo,soltero,Small (up to 3),Yes,Continuous,>394,Adult man,No bottled water,single,no,none,none,store,no,4,23,165
952,Borbon,47-60,hombre,mestizo,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,5,23,166
954,Borbon,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,4,18,150
958,Borbon,>60,hombre,mestizo,casado.o.union.libre,Medium (4-6),Yes,Continuous,<= $394,Adult man,Bottled water,single,no,treatment,none,store,no,5,20,160
960,Borbon,>60,hombre,mestizo,casado.o.union.libre,Medium (4-6),No,Continuous,Skipped,Adult man,Bottled water,single,no,none,none,store,no,4,23,165
961,Borbon,<36,mujer/otro,mestizo,casado.o.union.libre,Small (up to 3),No,Continuous,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,4,23,165
962,Borbon,>60,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,<= $394,Adult man,Bottled water,single,no,treatment,none,store,no,4,20,156
963,Borbon,<36,mujer/otro,afro-ecuatoriano,soltero,Medium (4-6),Yes,Interrupted,<= $394,Adult man,Bottled water,multiple,no,none,none,store,no,2,19,143
965,Borbon,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,Skipped,Adult man,Bottled water,multiple,no,none,none,store,no,2,20,148
966,Borbon,47-60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,4,21,159
967,Borbon,47-60,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,4,22,162
968,Borbon,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,Skipped,Adult man,Bottled water,single,no,none,none,no store,yes,4,19,153
969,Borbon,47-60,hombre,mestizo,casado.o.union.libre,Medium (4-6),Yes,Continuous,Skipped,Adult man,Bottled water,single,no,treatment,none,store,no,5,19,158
970,Borbon,47-60,hombre,mestizo,casado.o.union.libre,Large (more than 6),Yes,Continuous,>394,Adult man,Bottled water,single,no,treatment,none,store,no,6,22,166
977,Borbon,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,Skipped,Adult woman,Bottled water,multiple,no,none,none,store,no,4,22,162
980,Borbon,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),No,Interrupted,>394,Adult man,Bottled water,single,no,none,none,store,no,4,19,153
983,Borbon,47-60,mujer/otro,mestizo,soltero,Medium (4-6),Yes,Interrupted,<= $394,Adult man,Bottled water,single,no,none,none,no store,no,5,15,150
985,Borbon,>60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Interrupted,Skipped,Adult man,Bottled water,multiple,no,none,none,store,yes,7,24,168
986,Borbon,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,>394,Adult man,Bottled water,single,no,none,none,store,no,5,20,160
987,Borbon,>60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Interrupted,<= $394,Adult man,Bottled water,multiple,no,treatment,none,store,no,5,21,162
988,Borbon,47-60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Interrupted,<= $394,Adult woman,Bottled water,multiple,no,none,none,store,no,5,21,162
988,Borbon,36-46,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),No,Interrupted,>394,Adult man,Bottled water,single,no,none,none,no store,no,5,22,164
989,Borbon,36-46,mujer/otro,mestizo,casado.o.union.libre,Small (up to 3),Yes,Interrupted,>394,Adult man,Bottled water,single,no,treatment,none,store,no,6,20,164
992,Borbon,>60,hombre,mestizo,divorced/separated/widowed,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,treatment,none,no store,yes,2,20,148
995,Borbon,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Large (more than 6),No,Continuous,Skipped,Adult man,Bottled water,single,no,none,none,store,no,4,22,162
